Time,Aggregate
0,0
0.0055,0
0.00839999,0
0.0111,0
0.0166,0
0.0167,0
0.0222,0
0.0251,0
0.0277,0
0.0333,0
0.0334,0
0.0388001,0
0.0417001,0
